,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.714,0.0,0.095,0.047,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.043,0.347,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.086,0.086,0.043,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.086,0.0,0.0,0.043
2,0.0,0.0,0.722,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.055,0.0
3,0.0,0.055,0.0,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.111,0.111,0.0,0.0
4,0.0,0.0,0.0,0.055,0.5,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.277,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.777,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.055,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.555,0.055,0.055,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.055,0.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
